"","id","entropy"
"25",779,1.83688148882386
"29",842,1.80076402115912
"15",462,1.72750431141635
"8",353,1.70792174525966
"38",1155,1.69066152923952
"182",6178,1.68756285846267
"6",317,1.66868292034501
"169",5680,1.65687538468821
"21",588,1.64443901799239
"10",405,1.63459835616469
"2",49,1.62584387211191
"72",2535,1.61697825488535
"128",4379,1.61195516377629
"121",4205,1.60227422443373
"101",3578,1.58883304847749
"177",6018,1.5761009927969
"67",2284,1.57063637093864
"102",3642,1.56743693494559
"142",4716,1.55678267210095
"127",4353,1.55313925389099
"195",6694,1.54881781179535
"152",5188,1.54737297368445
"85",3101,1.54378700824699
"120",4155,1.54244471515525
"90",3226,1.53877003117551
"172",5752,1.53686651732608
"44",1352,1.53628878338219
"126",4344,1.53421635270915
"24",757,1.52423715606424
"56",1910,1.51794465699686
"186",6405,1.51671003145095
"76",2715,1.51644266758885
"61",2113,1.50988348479481
"30",859,1.50701462770687
"144",4820,1.50467520616264
"198",6776,1.50351002663676
"170",5717,1.50277774339682
"163",5437,1.50207945412471
"164",5493,1.49907551226547
"154",5214,1.49863121814861
"99",3481,1.49780051397404
"36",1058,1.49602773674652
"151",5109,1.48867279955397
"57",2038,1.48852962401228
"71",2521,1.47472016605592
"83",3043,1.46643065352638
"183",6238,1.46105761198598
"110",3842,1.4538689065531
"171",5718,1.44714960040639
"80",2908,1.44385115178952
"97",3403,1.44124190889391
"118",4087,1.43617120159843
"54",1721,1.43282982723108
"82",2957,1.43046289882397
"174",5967,1.42829935813368
"43",1350,1.42572160658458
"130",4452,1.42521451835387
"117",4065,1.41852517425635
"41",1264,1.41535134243486
"109",3824,1.40488766202366
"52",1631,1.39933578909182
"32",870,1.39172557451591
"124",4263,1.37943345912184
"119",4111,1.37684933761354
"108",3814,1.37631163591935
"1",46,1.33934518074436
"139",4671,1.33870263631728
"180",6137,1.33851691628885
"197",6764,1.3373380366322
"188",6427,1.33265563196236
"47",1390,1.33079265971913
"105",3706,1.33066560431541
"45",1359,1.33038503102049
"134",4527,1.31747844305762
"51",1562,1.31446127021078
"55",1824,1.31443937990988
"100",3493,1.30589179794651
"147",5031,1.30485548065691
"50",1450,1.30473467234093
"98",3448,1.30284307837837
"158",5295,1.2973970444193
"133",4524,1.29512008291163
"11",416,1.29485961013311
"162",5427,1.29095573437266
"86",3110,1.2874592852451
"16",483,1.28719389292003
"78",2777,1.286259832972
"136",4618,1.28489682995676
"13",424,1.28333550641484
"75",2710,1.28229172066024
"23",727,1.28096419235268
"140",4693,1.27782922761567
"189",6496,1.27334224140487
"9",375,1.27172888363295
"114",4027,1.26902535613384
"18",523,1.26673949005058
"122",4212,1.26571404674876
"74",2701,1.26057409379165
"115",4050,1.25632081762143
"135",4563,1.25616067486277
